Timestep	2016	2017	2018	2019	ground
560	276.85	269.95	278.95	275.45	278.39
561	277.05	269.75	278.15	275.45	278.37
562	279.05	269.85	278.15	275.45	278.39
563	280.45	270.15	278.75	275.75	278.38
564	280.65	270.55	280.05	275.95	278.38
565	281.55	270.25	281.05	276.55	278.38
566	282.35	270.05	282.35	276.85	278.38
567	283.35	271.05	283.25	277.05	278.38
568	284.55	270.35	283.15	276.25	278.37
569	284.45	270.25	283.45	276.45	278.38
570	283.75	270.65	283.65	275.45	278.38
571	284.15	269.85	283.05	274.75	278.38
572	284.25	269.85	281.95	274.35	278.39
573	282.85	269.75	281.85	274.05	278.37
574	281.35	269.75	281.95	273.95	278.38
575	279.75	269.95	281.95	274.15	278.37
576	278.15	270.05	281.65	274.45	278.38
577	277.75	270.15	281.65	274.25	278.37
578	277.15	270.15	281.45	274.15	278.37
579	276.95	270.05	281.65	274.05	278.36
580	277.25	269.95	281.65	273.45	278.36
581	276.65	269.75	281.65	272.95	278.36
582	276.55	269.55	281.35	272.45	278.36
583	276.85	269.35	281.25	272.35	278.36
584	277.15	269.25	281.25	272.25	278.36
585	277.15	269.45	281.15	272.65	278.34
586	277.15	269.65	281.05	272.65	278.36
587	277.35	269.95	281.65	273.35	278.37
588	278.15	270.85	282.55	274.65	278.36
589	279.05	270.85	283.75	274.55	278.37
590	278.35	271.05	285.25	274.65	278.36
591	279.75	271.05	286.95	275.45	278.37
592	281.45	270.65	287.25	275.95	278.38
593	282.05	270.65	287.25	276.25	278.36
594	281.95	270.85	286.75	276.75	278.37
595	280.85	271.05	285.95	276.15	278.38
596	279.95	271.05	285.05	277.15	278.36
597	278.95	270.85	283.95	275.45	278.37
598	278.35	270.75	283.25	274.75	278.37
599	277.85	270.55	283.05	274.95	278.37
600	277.25	270.75	282.75	275.35	278.37
601	277.05	270.75	282.65	275.85	278.37
602	276.75	270.85	282.45	276.05	278.36
603	276.55	270.95	282.15	275.95	278.36
604	276.45	270.85	281.65	275.75	278.36
605	276.65	270.75	281.15	275.75	278.36
606	276.65	270.55	280.55	275.75	278.37
607	276.45	270.35	280.45	276.15	278.36
608	276.25	269.95	280.25	276.25	278.37
609	276.55	269.85	280.45	276.25	278.36
610	276.65	270.15	280.75	276.15	278.35
611	277.35	270.15	281.25	276.55	278.34
612	278.85	270.35	281.65	277.25	278.37
613	280.05	270.75	281.05	277.65	278.38
614	281.45	271.15	281.15	279.15	278.37
615	283.05	271.95	281.85	280.15	278.38
616	283.85	271.55	282.05	280.45	278.39
617	284.35	271.85	281.55	280.65	278.37
618	284.05	271.65	281.95	280.25	278.38
619	282.95	271.25	281.65	279.55	278.37
620	281.55	270.95	281.15	279.25	278.36
621	280.35	270.75	280.75	279.15	278.38
622	279.55	270.85	280.15	278.45	278.37
623	279.05	270.85	280.25	278.95	278.38
624	278.45	270.65	280.65	279.35	278.39
625	277.85	270.85	280.85	278.75	278.39
626	277.45	271.05	280.95	278.25	278.38
627	277.15	270.75	280.95	278.45	278.37
628	278.25	270.45	280.55	278.15	278.4
629	278.75	270.55	280.75	278.45	278.39
630	279.15	270.85	280.45	278.55	278.39
631	278.95	270.95	280.25	278.55	278.37
632	278.75	270.75	280.25	278.65	278.39
633	279.15	270.55	280.25	278.95	278.38
634	278.55	270.65	280.55	278.75	278.39
635	278.55	271.05	280.75	278.55	278.39
