Timestep	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
40	21633.5	31887.8	36022.9	74982.6	84903.4	18775.5	7942.08	10653.8	188245	69954.9	69036	36296.2	163262	33988.7	26286.9	89754.9	29608.3	105781	36129.9	48598.6	77802	8074.53	10974.5	8873.45	6090.04	35677.1	25563.6	23434.2	26757	26440.3	23902	22785.3	29377.5	29989.4	28963.8	469.807	12826.3	12826.3	12826.3	10183.6	7390.41	0	0	6736.26	723.368	3957.35	0.284785	0.284785	0	0	0	0	0
41	22335.1	32658.1	36895.8	76793.9	86960.9	19459.3	8137.84	10916.4	192807	71837.1	71080.3	37190.9	167286	35248	27260.8	91929.9	30338.1	108389	37183.1	50037.7	79879	8273.56	11381.1	9202.23	6315.68	36999.1	26510.8	24302.5	27748.4	27560.4	24914.6	23750.6	30622	31259.8	30190.8	482.447	13369.7	13369.7	13369.7	10615	7703.5	0	0	6902.3	744.788	4074.53	0.298866	0.298866	0	0	0	0	0
42	23193.6	32376.1	38360.6	76130.9	90413.3	19416.7	8321.61	11162.9	200461	73467.1	72711.2	38030.7	171064	36099.1	27919.1	95579.6	31023.2	110836	38620.8	51185.8	80571.3	8460.39	11655.9	9424.43	6468.18	37892.4	27150.9	24889.3	28418.4	28257.2	25544.5	24351.1	31396.2	32050.2	30954.1	493.394	13707.7	13707.7	13707.7	10883.4	7898.26	0	0	7058.16	761.877	4168.02	0.306926	0.306926	0	0	0	0	0
43	27262.8	32479.8	45709.1	76374.7	107733	19666.7	9135.28	12254.4	238862	80502	79547.7	41749.3	187790	39425.2	30491.4	113889	34056.5	121674	45586.8	55998.4	81956	9287.63	12729.8	10292.8	7064.13	41383.7	29652.5	27182.5	31036.8	30868.4	27905	26601.3	34297.5	35011.8	33814.5	540.639	14974.4	14974.4	14974.4	11889.1	8628.12	0	0	7748.3	833.511	4559.91	0.335723	0.335723	0	0	0	0	0
44	28709.3	32736.5	48278.6	76978.4	113789	19894.6	9430.58	12650.6	252290	83075.7	82072.3	43098.9	193860	40682.2	31463.6	120291	35157.4	125607	48047.1	57775.7	82648.3	9587.85	13135.7	10620.9	7289.37	42703.2	30598	28049.2	32026.4	31869.6	28810	27464.1	35409.9	36147.4	34911.3	557.924	15460	15460	15460	12274.7	8907.96	0	0	7998.76	859.965	4704.63	0.346952	0.346952	0	0	0	0	0
45	24596.7	33506.8	40106.5	78789.6	94528.2	20578.4	8713.13	11688.1	209585	77231.4	76799.7	39820	179112	38617.8	29867.1	99929.7	32482.8	116051	40727.2	54064	83404.1	8858.44	12469.2	10082	6919.48	40536.3	29045.3	26625.9	30401.2	30497.5	27569.6	26281.6	33885.3	34591.1	33408.1	518.674	14794.4	14794.4	14794.4	11746.3	8524.43	0	0	7390.25	804.718	4402.39	0.335088	0.335088	0	0	0	0	0
46	25298.2	34277.1	40979.5	80600.9	96585.7	21262.2	8908.9	11950.8	214146	79113.5	78844	40714.7	183136	39877.2	30841	102105	33212.6	118659	41780.4	55503	85481.1	9057.47	12875.8	10410.8	7145.13	41858.2	29992.5	27494.2	31392.6	31617.6	28582.2	27246.9	35129.9	35861.5	34635.2	531.314	15337.8	15337.8	15337.8	12177.7	8837.51	0	0	7556.29	826.138	4519.57	0.349169	0.349169	0	0	0	0	0
47	25532	34533.8	41270.4	81204.6	97271.6	21490.2	8974.15	12038.3	215667	79740.9	79525.4	41012.9	184478	40297	31165.7	102830	33455.9	119528	42131.5	55982.7	86173.4	9123.81	13011.3	10520.4	7220.35	42298.8	30308.2	27783.6	31723.1	31990.9	28919.7	27568.6	35544.7	36285	35044.2	535.528	15518.9	15518.9	15518.9	12321.5	8941.88	0	0	7611.64	833.278	4558.64	0.353862	0.353862	0	0	0	0	0
48	25375	35047.3	40678.6	82412.1	95876.7	21946	8986.15	12054.4	212574	79992.9	79938.8	41067.8	184724	40705.2	31481.4	101355	33500.6	119688	41747.1	56273.7	87558.1	9136.02	13143.2	10626.9	7293.5	42727.4	30615.3	28065.1	32044.5	32414.3	29302.4	27933.4	36015.1	36765.2	35507.9	537.22	15724.3	15724.3	15724.3	12484.5	9060.2	0	0	7621.81	837.609	4582.33	0.359883	0.359883	0	0	0	0	0
49	26778	36587.8	42424.5	86034.6	99991.7	23313.6	9377.68	12579.6	221698	83757.2	84027.3	42857.1	192773	43223.9	33429.4	105705	34960.2	124902	43853.5	59151.9	91712.1	9534.07	13956.4	11284.5	7744.79	45371.2	32509.6	29801.6	34027.3	34654.5	31327.6	29864	38504.1	39306.1	37961.9	562.501	16811	16811	16811	13347.3	9686.37	0	0	7953.9	880.449	4816.7	0.388044	0.388044	0	0	0	0	0
