Timestep	2018	2019	2020	2021	2022
449	279.65	275.05	277.05	277.45	279.45
450	279.55	274.45	275.75	276.25	278.85
451	278.55	273.75	275.35	275.05	278.15
452	277.25	273.55	275.05	274.65	277.55
453	276.75	273.25	274.95	275.05	277.35
454	276.65	272.95	274.65	274.75	277.15
455	277.75	272.95	274.45	274.95	277.25
456	277.75	272.75	274.25	274.55	277.05
457	276.45	272.55	274.05	274.45	276.45
458	276.65	272.55	274.15	274.75	276.15
459	276.85	272.55	274.05	274.95	275.95
460	276.95	272.35	273.75	274.95	275.95
461	276.65	272.15	273.45	274.65	275.75
462	276.95	272.65	273.25	274.35	275.85
463	276.55	272.95	273.15	274.45	276.05
464	276.15	273.35	272.95	275.25	276.05
465	276.65	273.45	273.25	275.75	275.95
466	276.35	274.45	273.65	276.25	276.45
467	276.95	275.35	274.75	277.55	277.15
468	277.55	275.55	275.75	278.85	277.45
469	277.65	275.75	276.55	279.05	277.75
470	277.25	276.15	276.95	280.15	277.75
471	275.55	276.45	277.35	280.85	278.65
472	274.75	276.35	277.25	281.65	278.15
473	275.35	276.15	276.55	280.65	277.55
474	275.85	275.75	275.65	280.15	276.85
475	276.15	275.65	275.05	279.85	276.05
476	276.75	275.55	274.55	279.45	275.95
477	277.15	275.45	274.15	279.75	276.05
478	277.55	275.75	273.85	280.15	276.35
479	278.15	275.75	273.55	280.75	276.05
480	279.35	275.45	273.35	280.25	275.55
481	280.55	275.45	273.15	281.65	274.85
482	281.95	275.65	272.75	281.15	274.55
483	281.35	275.25	272.55	281.05	274.45
484	281.15	275.55	272.25	281.95	273.95
485	280.75	275.25	272.65	282.15	273.75
486	280.25	274.85	272.45	281.75	273.55
487	279.75	274.45	272.35	281.25	273.45
488	279.85	274.35	272.05	280.45	273.25
489	279.75	274.55	272.15	280.55	272.95
490	280.05	274.75	273.15	280.55	273.55
491	279.95	275.05	274.55	281.05	274.45
492	279.85	276.15	275.65	281.45	275.05
493	279.75	276.55	275.75	281.85	275.85
494	279.45	276.75	275.95	282.35	276.55
495	279.45	277.25	276.45	282.45	276.45
496	279.05	277.55	276.45	282.85	276.25
497	278.65	277.55	276.35	282.75	275.65
498	278.25	276.55	275.35	281.75	274.75
499	278.05	275.75	274.65	282.25	274.25
500	277.85	274.65	274.85	282.85	274.05
501	277.75	274.85	274.75	283.05	273.75
502	277.75	274.15	274.65	282.55	273.45
503	277.85	274.05	274.25	282.15	273.25
504	278.15	273.55	274.15	281.75	273.25
505	278.35	273.25	274.25	281.05	273.05
506	278.55	273.05	274.25	279.95	272.75
507	278.85	272.85	274.35	280.35	272.95
508	279.35	272.95	274.45	280.35	272.75
509	279.95	272.95	274.45	280.45	272.45
510	280.55	273.05	274.25	279.85	271.95
511	279.75	273.05	274.25	279.75	271.75
512	280.45	273.15	274.25	278.95	271.95
513	280.25	272.85	274.05	279.35	272.75
514	280.25	273.25	274.65	279.45	273.45
515	280.05	273.65	275.85	280.95	274.45
516	280.05	274.65	276.55	283.15	275.45
517	280.45	274.45	276.75	281.75	275.75
518	281.15	275.05	277.05	282.05	276.35
519	282.55	275.05	277.25	281.75	277.15
520	282.85	275.05	277.55	282.35	278.05
521	283.05	274.75	277.25	281.75	278.55
522	282.65	273.85	276.45	281.95	277.85
523	282.85	272.75	275.65	280.55	277.15
524	283.05	272.35	275.25	279.95	276.65
525	282.65	272.35	275.35	279.75	276.05
526	282.65	272.25	275.25	278.45	275.45
527	282.65	272.05	274.95	277.15	275.35
528	282.15	272.35	274.95	276.35	274.95
529	281.25	272.45	275.15	275.85	274.25
530	281.15	272.45	274.75	276.45	274.05
531	280.65	273.15	274.05	276.65	274.05
532	281.05	273.35	273.85	276.65	273.25
533	280.75	272.75	273.75	275.75	273.45
534	280.65	272.95	273.75	276.15	273.15
535	280.65	272.85	272.95	275.85	273.45
536	280.35	272.45	272.45	275.65	273.55
537	279.85	272.35	273.15	275.65	273.35
538	280.45	272.75	272.85	275.75	273.85
539	281.35	273.75	273.45	276.85	274.05
540	281.75	274.25	274.05	277.35	275.05
541	281.75	274.55	274.35	276.95	275.95
542	282.15	274.25	274.25	277.65	275.45
543	282.45	274.25	274.15	277.65	276.05
544	282.55	273.45	274.05	277.05	275.65
545	282.25	273.45	273.85	276.85	275.15
