Mois	min	max	mean	2014
1	266.15	280.05	272.3875	274.95
1	266.15	280.05	272.3625	275.05
1	266.15	279.55	272.3	275.05
1	266.45	279.15	272.4375	275.25
1	268.45	279.45	273.05	275.65
1	269.05	279.35	273.4625	276.15
1	269.25	279.25	273.925	276.65
1	269.35	278.65	274.2125	277.35
1	269.25	278.25	274.225	277.75
1	269.05	277.95	274.275	277.95
1	268.85	277.95	274.1125	277.95
1	268.55	277.75	273.75	277.75
1	268.35	277.55	273.4625	277.55
1	268.25	277.25	272.9875	277.25
1	268.35	277.05	272.6125	277.05
1	267.55	276.85	272.2875	276.85
1	266.75	276.75	271.9125	276.75
1	265.95	276.35	271.4125	276.35
1	265.15	276.05	271.175	276.05
1	264.45	275.85	270.95	275.85
1	263.85	276.05	270.8875	275.75
1	263.25	275.95	270.4625	275.65
1	262.45	276.35	270.1375	275.75
1	262.05	276.75	269.825	275.55
1	261.75	276.05	269.525	275.05
1	261.45	275.95	269.2375	274.95
1	261.25	276.65	269.0125	274.65
1	261.95	276.95	269.275	274.65
1	263.45	277.45	270.175	274.65
1	265.15	277.85	271.4875	274.85
1	266.45	278.35	272.7	275.25
1	267.65	278.85	273.525	275.75
1	268.25	279.35	273.8875	275.75
1	268.35	279.95	273.9375	275.95
1	268.45	279.35	273.6	275.95
1	268.15	278.85	273.0125	275.85
1	267.85	279.25	272.6375	275.55
1	267.65	279.15	272.2875	275.65
1	267.35	280.15	272.25	275.45
1	267.15	280.35	272.1125	275.35
1	267.35	280.95	272.275	275.25
1	267.85	281.05	272.2625	275.25
1	268.05	281.55	272.25	275.15
1	268.05	281.65	272.1875	274.95
1	266.55	280.95	272.0125	274.85
1	265.55	280.45	271.8875	274.85
1	265.15	280.45	272.0625	274.85
1	265.05	279.55	272.15	274.65
1	265.15	279.15	272.225	274.45
1	265.15	279.25	272.0875	274.45
1	264.95	280.75	272.2125	274.25
1	265.55	281.25	272.5125	274.55
1	266.75	281.15	273.0875	275.55
1	268.15	281.45	273.825	276.95
1	268.65	282.25	274.7875	278.95
1	269.25	282.75	275.375	278.75
1	269.75	283.25	275.6875	277.55
1	269.55	283.15	275.625	277.25
1	268.85	283.25	275.4625	276.95
1	267.95	283.25	274.975	276.45
1	267.55	282.35	274.5625	276.15
1	267.55	282.05	274.2625	275.95
1	267.35	282.15	274.0625	275.85
1	267.65	282.45	274.1375	275.65
1	267.65	282.65	274.125	275.65
1	267.75	281.75	273.9375	275.45
1	267.75	280.25	273.6	275.45
1	267.75	280.85	273.4875	275.15
1	267.65	280.95	273.4375	274.95
1	267.45	280.75	273.4	274.95
1	267.35	280.75	273.4	275.15
1	267.15	280.65	273.3625	275.15
1	267.05	280.55	273.325	275.15
