Symbole	vc	Pc	Tc	Tbp	Mol. weight	WP	DipM	alpha	beta 	gamma	delta	RoL	TL	Roc	Tfp
-	[m3/kg]	[Pa]	[K]	[K]	[g/mol]	[-]	[debye]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[J/(kg K)]	[kg/m3]	[K]	[kg/m3]	[K]
C2H6	0.004931939	4880000	305.4	184.6	30.07	0.099	0	180	5.92	-0.00231	0.000000290	548	183	202.76	89.9
C2H60	0.003627131	6140000	513.9	351.4	46.069	0.644	1.7	196	4.65	-0.00182	0.000000030	789	293	275.7	159.1
C3H6	0.003873417	5490000	397.8	240.3	42.081	0.13	0	-837	9.06	-0.00685	0.000002150	563	288	258.17	145.7
C3H8	0.00460384	4250000	369.8	231.1	44.094	0.153	0	-95.8	6.95	-0.0036	0.000000729	582	231	217.21	85.5
C3H8O	0.003644182	5170000	536.8	370.3	60.096	0.623	1.7	41.1	5.53	-0.00309	0.000000715	804	293	274.41	146.9
C4F8	0.001619774	2780000	388.5	267.2	200.028	0.356	0	0	0	0	0.000000000	1654	253	617.37	231.75
C4H8	0.003742795	4990000	460	285.7	56.108	0.181	0	-896	8.95	-0.00634	0.000001870	694	293	267.18	182.4
C4H10	0.004387119	3800000	425.2	272.7	58.124	0.199	0	163	5.7	-0.00191	-0.000000049	579	293	227.94	134.8
C4H10	0.004524887	3650000	408.2	261.4	58.124	0.183	0.1	-23.9	6.62	-0.00318	0.000000498	557	293	221	113.6
C4H10O	0.003710024	4420000	563.1	390.9	74.123	0.593	1.8	44.1	5.64	-0.00302	0.000000632	810	293	269.54	183.9
C5H10	0.003707136	4510000	511.7	322.4	70.135	0.196	0	-765	7.74	-0.00432	0.000000921	745	293	269.75	179.3
C5H12	0.004250074	3390000	460.4	301	72.151	0.227	0.1	-132	7.02	-0.00378	0.000000790	600	293	235.29	113.3
C5H12	0.004213365	3370000	469.7	309.2	72.151	0.251	0	-50.3	6.75	-0.00358	0.000000735	626	293	237.34	143.4
C8H18	0.004307003	2490000	568.8	398.8	114.232	0.398	0	-53.4	6.75	-0.00367	0.000000775	703	293	232.18	216.4
C2H2F4	0.001940617	4056000	374.21	246.65	102.03	0.326	-1	13	3.27	-0.00239	0.000000619	1408.4	243.15	515.3	165.15
C2HCl2F3	0.001818182	3676000	456.94	301.02	152.93	0	-1	192	1.98	-0.00124	-0.000000014	1593	243.15	550	166
CF3CH2CF2CH3	0.002087683	3814000	474.89	313.35	148	0.199	3.9	163	5.7	-0.00191	-0.000000049	1263	293.15	479	238.15
H2O	0.0031545741	22089000	647.286	373.15	18.016	0	0	2500000	-2520	4.04	-0.002160000	1000	273.15	312.5	273.15
