2012	2013	2014	2015	2016	2017	2018	2019	2020	mean	max	min
3	1	2	1	2	1	1	1	1	1.444444444	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	2	1	1	1	1	1.222222222	2	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	2	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
4	9	4	8	2	3	1	1	1	3.666666667	9	1
28	76	98	51	11	21	3	8	16	34.66666667	98	3
76	217	148	95	77	52	18	52	124	95.44444444	217	18
136	300	179	207	138	77	71	97	252	161.8888889	300	71
189	343	148	195	185	122	173	132	346	203.6666667	346	122
355	297	126	217	175	110	112	147	402	215.6666667	402	110
302	224	105	164	206	72	59	200	359	187.8888889	359	59
198	170	64	145	36	30	79	185	289	132.8888889	289	30
82	56	26	113	30	11	51	83	160	68	160	11
10	5	4	10	6	2	9	19	48	12.55555556	48	2
3	1	2	2	1	1	1	2	3	1.777777778	3	1
3	1	2	2	1	2	1	1	2	1.666666667	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	0	1	1	1	1	2	0
2	1	1	1	1	2	1	1	1	1.222222222	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
3	1	1	1	1	2	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
2	1	1	1	1	1	1	1	1	1.111111111	2	1
6	5	7	6	4	2	1	1	1	3.666666667	7	1
50	45	112	87	25	30	10	4	17	42.22222222	112	4
173	90	136	212	88	63	47	18	97	102.6666667	212	18
318	125	171	334	144	111	154	31	194	175.7777778	334	31
390	138	112	392	175	174	238	43	217	208.7777778	392	43
387	94	63	382	327	186	364	39	253	232.7777778	387	39
354	68	47	324	209	166	356	19	240	198.1111111	356	19
198	70	34	211	147	86	288	29	184	138.5555556	288	29
84	41	12	84	54	78	130	32	156	74.55555556	156	12
11	3	3	8	5	3	33	9	50	13.88888889	50	3
3	1	1	1	1	1	2	1	2	1.444444444	3	1
3	1	2	1	1	1	1	2	1	1.444444444	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	2	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
3	1	1	2	1	1	1	1	1	1.333333333	3	1
2	1	2	1	1	1	1	1	1	1.222222222	2	1
3	1	2	1	1	1	1	1	1	1.333333333	3	1
3	1	1	1	1	1	1	1	1	1.222222222	3	1
7	2	2	3	2	3	1	1	1	2.444444444	7	1
92	17	13	6	18	28	10	5	24	23.66666667	92	5
