Mois	temp
1	272.89
1	272.63
1	272.56
1	272.51
1	272.39
1	272.36
1	272.30
1	272.44
1	273.05
1	273.46
1	273.93
1	274.21
1	274.23
1	274.28
1	274.11
1	273.75
1	273.46
1	272.99
1	272.61
1	272.29
1	271.91
1	271.41
1	271.18
1	270.95
1	270.89
1	270.46
1	270.14
1	269.83
1	269.53
1	269.24
1	269.01
1	269.28
1	270.18
1	271.49
1	272.70
1	273.53
1	273.89
1	273.94
1	273.60
1	273.01
1	272.64
1	272.29
1	272.25
1	272.11
1	272.28
1	272.26
1	272.25
1	272.19
1	272.01
1	271.89
1	272.06
1	272.15
1	272.23
1	272.09
1	272.21
1	272.51
1	273.09
1	273.83
