Timestep	2016	2017	2018	2019
341	277.55	274.05	275.45	278.95
342	277.45	274.05	275.35	278.45
343	277.35	273.55	275.15	277.65
344	277.05	272.75	275.25	276.75
345	276.45	271.75	275.35	276.25
346	275.65	272.05	275.35	276.05
347	275.85	273.05	275.75	276.55
348	276.75	274.65	276.15	278.05
349	277.55	275.45	276.95	279.05
350	278.65	275.35	277.55	279.65
351	278.95	276.35	278.15	280.35
352	278.65	276.45	279.15	280.65
353	278.05	275.65	280.05	281.15
354	277.45	275.55	280.25	280.45
355	276.45	275.05	281.15	279.15
356	276.45	274.95	282.45	277.95
357	276.35	274.25	282.35	276.95
358	276.15	273.75	281.25	276.55
359	276.15	273.35	280.55	276.05
360	276.05	273.35	280.35	275.55
361	275.45	273.55	280.35	275.05
362	274.85	273.25	280.55	274.65
363	274.95	272.95	280.55	274.45
364	274.75	272.75	280.65	274.35
365	275.15	272.45	280.85	273.85
366	275.25	272.25	281.05	273.65
367	275.45	272.05	281.25	273.65
368	275.55	271.95	281.45	273.55
369	275.55	270.85	281.65	273.75
370	275.55	270.65	281.85	274.25
371	276.05	271.05	282.25	274.55
372	276.55	271.85	283.05	275.55
373	277.55	273.15	283.75	276.55
374	277.45	273.25	283.75	277.75
375	277.55	273.85	284.25	278.55
376	277.65	274.25	284.45	279.05
377	277.25	273.85	284.55	279.15
378	276.95	273.25	283.55	279.55
379	276.75	272.95	283.05	278.95
380	276.75	272.65	282.85	278.85
381	276.75	271.95	283.15	278.45
382	276.55	271.55	282.55	278.35
383	276.65	271.15	282.85	278.25
384	276.15	271.15	282.85	278.35
385	275.95	270.95	281.95	279.05
386	275.85	270.85	281.85	280.15
387	275.55	270.65	281.95	280.75
388	275.55	270.95	281.85	281.05
389	275.85	270.85	281.45	281.05
390	275.75	270.75	280.55	281.35
391	275.55	270.95	279.45	281.05
392	275.35	271.05	279.55	280.85
393	275.25	271.15	279.35	281.05
394	275.15	271.15	278.95	281.35
395	275.05	271.35	278.85	281.25
396	275.55	271.55	279.05	281.45
397	276.45	271.55	279.35	281.75
398	277.55	271.75	278.45	281.95
399	277.05	271.95	277.95	281.65
400	276.95	271.55	278.85	281.45
401	277.45	271.65	277.75	281.35
402	275.35	271.45	277.75	281.35
403	275.65	271.25	277.95	280.05
404	275.05	271.15	278.05	280.05
405	274.95	271.15	278.05	279.75
406	274.35	271.05	278.35	279.05
407	273.85	270.95	278.65	279.15
408	272.85	270.95	278.35	279.05
409	271.95	270.95	278.55	279.05
410	271.85	270.95	278.95	278.85
411	271.85	270.85	278.65	278.05
412	271.25	270.65	278.15	277.55
413	271.25	270.65	278.05	277.45
414	270.85	270.45	278.05	277.25
415	270.35	270.35	277.85	276.75
416	270.05	270.25	277.75	275.75
417	269.55	270.35	277.75	275.35
418	269.75	270.25	278.05	275.15
419	270.65	270.25	278.65	275.35
420	271.65	270.35	278.95	275.85
421	272.75	270.65	279.45	276.45
422	272.85	271.15	279.85	276.95
423	273.45	271.35	280.25	277.45
424	273.35	271.25	280.85	277.75
425	272.65	271.25	280.85	277.85
426	273.05	271.25	280.65	276.95
427	272.55	271.25	280.65	276.45
428	272.25	271.25	280.65	276.05
429	272.15	271.45	280.85	275.85
430	272.15	271.55	281.15	275.55
431	272.25	271.55	281.55	275.15
432	272.45	271.45	281.85	274.95
433	272.75	271.45	282.15	274.85
434	272.65	271.35	282.65	274.35
435	272.85	271.25	282.95	274.15
436	272.75	271.25	283.15	273.85
437	272.75	271.25	283.35	274.25
438	272.85	271.25	282.55	274.85
439	272.85	271.15	282.25	275.25
440	272.95	271.05	280.95	275.15
441	273.15	271.15	280.75	274.95
442	273.45	271.15	280.55	275.05
443	273.95	271.15	280.45	275.65
444	274.35	271.45	280.55	275.75
445	274.95	271.85	281.25	275.95
446	275.15	272.65	282.15	276.75
447	276.15	272.85	282.25	276.85
448	275.65	272.95	282.35	276.55
449	275.95	272.95	282.45	276.55
450	276.25	272.45	281.95	276.55
451	276.05	271.95	280.85	276.25
452	275.95	271.65	279.85	275.85
453	276.05	271.35	279.15	275.45
454	276.05	271.35	279.35	275.25
455	276.25	271.45	279.75	274.95
456	276.35	271.15	279.25	274.95
457	276.15	271.55	278.75	274.65
458	276.35	271.65	278.55	274.15
459	276.35	271.85	278.65	273.65
460	276.45	271.95	278.55	273.45
461	276.35	272.05	278.75	273.35
462	276.35	272.05	278.45	273.45
463	276.45	272.05	278.65	273.25
464	276.45	271.95	278.35	273.45
465	276.45	271.85	278.05	273.95
466	276.45	272.15	278.05	274.25
467	276.75	272.35	278.35	274.65
468	277.35	272.65	278.95	276.15
469	277.65	273.15	279.85	276.55
470	278.25	273.25	280.55	276.85
471	278.95	273.75	280.55	277.35
472	278.75	273.45	278.75	277.85
473	278.35	272.95	277.75	277.85
474	278.15	272.55	277.65	277.65
475	277.85	272.75	278.25	277.75
476	277.65	272.35	278.65	277.75
477	277.65	272.25	279.15	277.65
478	277.55	271.85	279.55	277.45
479	277.45	271.85	280.15	277.35
480	277.45	271.85	280.85	277.05
481	277.45	272.05	281.85	277.15
482	277.45	272.05	282.45	277.05
483	277.35	271.95	282.85	276.85
484	277.15	271.75	282.65	276.95
485	276.95	271.65	282.75	276.75
486	276.45	271.45	282.85	276.55
487	275.95	271.25	282.65	276.15
488	275.85	271.15	282.55	276.25
489	275.85	271.25	281.95	276.35
490	276.35	271.35	281.75	277.15
491	276.35	271.55	281.85	277.05
492	277.35	271.85	281.45	276.95
493	277.75	272.15	281.35	277.45
494	278.75	272.05	281.35	277.85
495	279.05	271.35	281.35	278.85
496	278.85	271.15	280.95	279.25
497	277.85	271.45	280.85	279.25
498	277.75	271.75	280.85	279.15
499	276.85	271.35	280.65	278.55
500	275.65	271.35	280.45	277.35
501	275.65	271.45	280.25	276.25
502	276.25	271.55	280.15	275.95
503	276.45	271.55	280.15	275.45
504	276.25	271.55	280.15	275.15
505	276.55	271.65	280.45	274.95
506	276.65	271.45	280.65	275.45
507	276.55	271.15	281.15	275.85
508	276.55	271.05	281.65	275.65
509	276.55	270.95	282.55	275.95
510	276.65	270.75	283.25	275.95
511	276.35	270.75	283.45	275.85
512	276.05	270.65	283.15	275.85
513	275.45	270.55	282.95	275.95
514	275.65	270.55	283.15	275.95
515	275.85	270.35	282.65	276.05
516	276.85	270.55	282.55	276.35
517	277.95	270.75	282.75	276.75
518	277.75	271.25	282.65	276.75
519	278.05	271.65	284.55	277.35
520	278.15	271.95	284.95	276.95
521	278.45	271.65	285.25	276.65
522	278.95	271.35	285.45	276.55
523	278.45	271.25	285.55	276.15
524	276.95	271.15	285.75	275.55
525	276.65	271.15	285.25	275.05
526	277.15	271.35	284.75	274.75
527	277.45	271.45	284.35	274.85
528	278.05	271.65	284.45	274.75
529	278.15	271.65	284.05	274.95
530	278.45	271.55	283.85	275.05
531	278.55	271.45	283.85	275.45
532	278.55	271.45	283.55	275.35
533	278.65	271.25	282.85	275.25
534	278.75	271.15	282.25	275.15
535	278.85	270.95	281.85	275.15
536	279.25	271.05	281.85	275.05
537	279.45	270.85	281.75	274.65
538	279.65	270.75	280.85	275.35
539	279.85	270.55	281.45	275.15
540	280.75	271.05	282.05	276.05
541	282.35	271.25	283.25	275.75
542	283.35	271.85	284.45	275.65
543	282.95	272.25	284.65	276.25
544	283.15	271.95	284.35	275.65
545	283.65	271.65	284.45	275.75
546	282.95	271.35	284.45	275.85
547	281.55	270.95	283.25	276.15
548	279.95	270.75	282.05	276.35
549	278.75	270.45	281.55	276.25
550	278.25	270.25	281.35	275.85
551	277.65	269.95	281.05	275.55
552	277.25	270.15	280.95	275.25
553	276.75	270.25	280.65	275.15
554	276.15	270.25	280.75	274.95
555	275.75	270.05	280.35	274.85
556	275.25	269.35	280.25	274.95
557	275.35	269.05	280.35	275.25
558	276.05	269.75	280.05	275.55
559	276.55	270.05	279.65	275.55
560	276.85	269.95	278.95	275.45
561	277.05	269.75	278.15	275.45
562	279.05	269.85	278.15	275.45
563	280.45	270.15	278.75	275.75
564	280.65	270.55	280.05	275.95
565	281.55	270.25	281.05	276.55
566	282.35	270.05	282.35	276.85
567	283.35	271.05	283.25	277.05
568	284.55	270.35	283.15	276.25
569	284.45	270.25	283.45	276.45
570	283.75	270.65	283.65	275.45
571	284.15	269.85	283.05	274.75
572	284.25	269.85	281.95	274.35
573	282.85	269.75	281.85	274.05
574	281.35	269.75	281.95	273.95
575	279.75	269.95	281.95	274.15
576	278.15	270.05	281.65	274.45
577	277.75	270.15	281.65	274.25
578	277.15	270.15	281.45	274.15
579	276.95	270.05	281.65	274.05
580	277.25	269.95	281.65	273.45
581	276.65	269.75	281.65	272.95
582	276.55	269.55	281.35	272.45
583	276.85	269.35	281.25	272.35
584	277.15	269.25	281.25	272.25
585	277.15	269.45	281.15	272.65
586	277.15	269.65	281.05	272.65
587	277.35	269.95	281.65	273.35
588	278.15	270.85	282.55	274.65
589	279.05	270.85	283.75	274.55
590	278.35	271.05	285.25	274.65
591	279.75	271.05	286.95	275.45
592	281.45	270.65	287.25	275.95
593	282.05	270.65	287.25	276.25
594	281.95	270.85	286.75	276.75
595	280.85	271.05	285.95	276.15
596	279.95	271.05	285.05	277.15
597	278.95	270.85	283.95	275.45
598	278.35	270.75	283.25	274.75
599	277.85	270.55	283.05	274.95
600	277.25	270.75	282.75	275.35
601	277.05	270.75	282.65	275.85
602	276.75	270.85	282.45	276.05
603	276.55	270.95	282.15	275.95
604	276.45	270.85	281.65	275.75
605	276.65	270.75	281.15	275.75
606	276.65	270.55	280.55	275.75
607	276.45	270.35	280.45	276.15
608	276.25	269.95	280.25	276.25
609	276.55	269.85	280.45	276.25
610	276.65	270.15	280.75	276.15
611	277.35	270.15	281.25	276.55
612	278.85	270.35	281.65	277.25
613	280.05	270.75	281.05	277.65
614	281.45	271.15	281.15	279.15
615	283.05	271.95	281.85	280.15
616	283.85	271.55	282.05	280.45
617	284.35	271.85	281.55	280.65
618	284.05	271.65	281.95	280.25
619	282.95	271.25	281.65	279.55
620	281.55	270.95	281.15	279.25
621	280.35	270.75	280.75	279.15
622	279.55	270.85	280.15	278.45
623	279.05	270.85	280.25	278.95
624	278.45	270.65	280.65	279.35
625	277.85	270.85	280.85	278.75
626	277.45	271.05	280.95	278.25
627	277.15	270.75	280.95	278.45
628	278.25	270.45	280.55	278.15
629	278.75	270.55	280.75	278.45
630	279.15	270.85	280.45	278.55
631	278.95	270.95	280.25	278.55
632	278.75	270.75	280.25	278.65
633	279.15	270.55	280.25	278.95
634	278.55	270.65	280.55	278.75
635	278.55	271.05	280.75	278.55
636	280.35	271.35	281.15	279.35
637	282.15	272.35	281.15	280.95
638	282.75	272.35	281.55	281.75
639	283.25	273.05	282.25	282.85
640	284.15	272.55	283.05	282.55
641	284.25	272.75	282.25	281.35
642	284.05	273.15	282.15	280.65
643	282.85	273.35	282.15	279.15
644	282.95	273.15	282.15	278.95
645	282.45	273.15	282.15	278.75
646	281.85	273.05	282.25	277.95
647	281.25	272.75	282.05	277.15
648	281.35	272.85	282.05	276.95
649	281.85	272.35	282.05	276.75
650	281.85	271.95	281.85	276.85
651	281.65	271.65	281.65	276.45
652	281.55	271.35	281.55	276.25
653	281.35	271.75	281.55	275.95
654	281.35	272.05	281.35	276.15
655	281.65	272.15	281.15	276.15
656	281.45	272.15	281.05	276.05
657	281.25	271.75	281.05	275.85
658	281.35	271.65	280.95	275.95
659	281.85	272.85	280.85	275.95
660	282.95	274.85	280.75	276.45
661	283.85	275.65	280.55	277.25
662	284.65	276.15	280.85	277.95
663	285.35	277.25	281.55	278.05
664	285.75	277.55	281.45	278.15
665	285.85	277.65	282.25	278.15
666	285.25	277.35	282.55	278.35
667	284.85	277.15	282.05	277.65
668	284.45	276.05	281.25	276.75
669	283.95	275.05	280.45	276.65
670	283.35	274.55	279.85	276.85
671	283.15	274.85	279.45	277.15
672	283.05	274.45	279.05	277.25
673	283.45	274.15	278.55	277.15
674	283.25	273.85	278.25	276.55
675	283.45	273.55	278.15	276.65
676	284.15	273.25	277.85	276.25
677	283.75	272.95	277.35	275.85
678	284.35	273.35	276.75	275.95
679	284.05	273.55	276.75	276.25
680	283.95	273.95	277.15	276.15
681	283.65	274.55	277.45	275.25
682	283.35	275.05	277.25	274.95
683	283.15	275.65	277.35	275.95
684	284.05	276.55	278.15	276.35
685	284.95	277.15	278.55	276.35
686	286.15	277.95	279.05	276.85
687	286.65	278.25	279.45	277.35
688	286.25	278.05	280.25	277.55
689	285.85	278.35	280.55	277.55
690	285.75	278.15	279.75	277.35
691	284.95	277.45	279.05	276.95
692	284.25	276.75	278.55	276.45
693	283.05	275.95	278.25	276.35
694	282.95	275.35	277.85	276.15
695	281.35	275.35	278.05	275.85
696	280.75	274.85	278.05	275.95
697	281.55	274.75	278.35	276.15
698	281.85	274.95	278.55	276.25
699	281.65	275.25	278.55	276.25
700	281.15	275.65	278.95	276.25
701	281.15	275.75	278.55	276.15
702	280.75	275.75	278.45	276.55
703	280.65	275.85	278.45	277.75
704	280.65	276.05	278.35	277.45
705	280.45	276.25	278.45	277.15
706	281.45	277.25	278.65	277.05
707	282.45	277.35	279.15	276.95
708	284.05	277.75	280.05	276.95
709	285.15	278.85	280.55	277.05
710	285.85	279.25	281.65	277.35
711	286.65	279.75	281.35	277.85
712	287.15	280.25	281.05	278.35
713	287.05	280.85	281.25	278.15
714	286.15	280.65	281.25	277.65
715	285.65	280.35	281.55	276.85
716	284.75	280.15	281.45	276.35
717	284.25	280.05	281.05	275.95
718	283.55	279.75	281.45	276.15
719	283.15	279.65	281.55	276.35
720	282.95	279.55	281.75	276.05
721	283.05	279.65	281.35	275.35
722	283.15	279.65	281.15	275.75
723	283.15	279.65	281.25	275.45
724	282.95	279.65	281.25	275.25
725	282.95	279.65	281.15	275.15
726	282.95	279.85	280.65	274.95
727	283.05	279.95	280.65	275.15
728	283.25	280.15	280.75	275.05
729	283.25	280.15	280.95	274.95
730	283.45	280.35	281.05	275.35
731	283.65	280.45	281.25	276.25
732	283.95	280.75	281.75	276.75
733	284.25	280.95	282.45	277.05
734	284.45	280.95	283.25	277.15
735	284.85	281.25	283.35	277.15
736	285.05	281.35	283.35	277.45
737	285.35	281.65	283.25	276.65
738	285.55	281.75	283.05	276.35
739	285.75	281.85	282.95	276.15
740	285.55	282.15	283.15	276.35
741	285.05	281.85	283.45	276.05
742	285.05	281.55	283.85	275.95
743	285.35	281.45	284.15	276.05
744	285.75	281.45	283.65	276.05
745	285.65	281.45	282.75	276.15
746	285.45	281.45	281.95	276.85
747	286.15	281.55	281.25	276.95
748	286.25	281.75	280.55	277.45
749	285.55	281.85	280.25	278.15
