Timestep	2021air	2021sol
1010	-6.6	3.5
1011	-6.7	3.5
1012	-6.8	3.4
1013	-7	3.4
1014	-7.2	3.3
1015	-7.2	3.3
1016	-7.3	3.2
1017	-7.3	3.2
1018	-7.3	3.2
1019	-7.1	3.1
1020	-6.8	3.1
1021	-6.8	3
1022	-6.5	3
1023	-6.3	3
1024	-6.1	2.9
1025	-6.1	2.9
1026	-6.3	2.8
1027	-6.2	2.8
1028	-6.2	2.8
1029	-6.1	2.8
1030	-6	2.7
1031	-6.1	2.7
1032	-6.3	2.7
1033	-6.4	2.6
1034	-6.9	2.6
1035	-7.4	2.6
1036	-7.6	2.6
1037	-7.8	2.5
1038	-8	2.5
1039	-8.1	2.5
1040	-8.3	2.5
1041	-8.6	2.4
1042	-8.3	2.4
1043	-8.1	2.4
1044	-7.6	2.3
1045	-7	2.3
1046	-6.7	2.3
1047	-6.7	2.3
1048	-6.4	2.3
1049	-6.5	2.2
1050	-6.4	2.2
1051	-6.4	2.2
1052	-6.4	2.2
1053	-6.2	2.2
1054	-6.1	2.1
1055	-6.2	2.1
1056	-6.7	2.1
1057	-6.9	2.1
1058	-7.1	2.1
1059	-7.2	2.1
1060	-7.3	2
1061	-7.3	2
1062	-7.4	2
1063	-7.5	2
1064	-7.2	2
1065	-7.1	2
1066	-6.6	2
1067	-5.9	2
1068	-5.2	1.9
1069	-3.7	1.9
1070	-2.5	1.9
1071	-1.6	1.9
1072	-1.2	1.9
1073	-1.2	1.9
1074	-1.3	1.9
1075	-2.1	1.9
1076	-2.8	1.9
1077	-3.2	1.9
1078	-3.6	1.9
1079	-4.1	1.9
1080	-4.6	1.8
1081	-5	1.8
1082	-4.8	1.8
1083	-4.7	1.8
1084	-4.2	1.8
1085	-4	1.8
1086	-4.2	1.8
1087	-4.3	1.8
1088	-4.1	1.8
1089	-3.6	1.8
1090	-2.4	1.8
1091	-0.4	1.8
1092	2.8	1.8
1093	3.8	1.8
1094	4.4	1.8
1095	4.2	1.8
1096	4.1	1.8
1097	3.9	1.7
1098	3.9	1.7
1099	3.7	1.7
1100	4	1.7
1101	4	1.7
1102	3.9	1.7
1103	3.7	1.7
1104	3.8	1.7
1105	3.3	1.7
1106	2.8	1.7
1107	2.4	1.7
1108	1.9	1.7
1109	1.8	1.7
1110	1.6	1.7
1111	1.7	1.7
1112	1.3	1.7
1113	1.2	1.7
1114	2.4	1.7
1115	5	1.8
1116	7.5	1.8
1117	9.3	1.8
1118	10.1	1.8
1119	9.5	1.9
1120	8.6	2
1121	8.5	2.1
1122	7.8	2.2
1123	6.8	2.2
1124	7.7	2.3
1125	9.1	2.3
1126	9.4	2.4
1127	9.1	2.5
1128	8.9	2.5
1129	8.3	2.6
1130	7.6	2.6
1131	7.2	2.7
1132	6.9	2.8
1133	6.7	2.8
1134	5.9	2.9
1135	5.8	3
1136	4.6	3
1137	4	3
1138	5	3
1139	6.9	3.1
1140	8.8	3.1
1141	9.5	3.2
1142	10.1	3.2
1143	10.8	3.3
1144	11.1	3.5
1145	11	3.6
1146	9.7	3.8
1147	7.9	3.9
1148	5.2	3.9
1149	4.1	4
1150	3.2	4
1151	2.1	4
1152	1.7	3.9
1153	0.7	3.9
1154	0.3	3.8
1155	-0.2	3.8
1156	-0.3	3.7
1157	-1	3.6
1158	-1	3.6
1159	-0.8	3.5
1160	-1.3	3.4
1161	-0.7	3.4
1162	1.2	3.3
1163	3.5	3.3
1164	5.8	3.2
1165	7.4	3.2
1166	8.3	3.2
1167	8.1	3.3
1168	7.9	3.4
1169	7.8	3.5
1170	6.8	3.5
1171	7.4	3.6
1172	8.5	3.7
1173	8.6	3.7
1174	8	3.8
1175	8.6	3.8
1176	9.3	3.8
1177	9.1	3.8
1178	8.7	3.9
1179	8.5	3.9
1180	8.2	3.9
1181	7.8	3.9
1182	7.9	4
1183	7.8	4
1184	7.1	4
1185	6.5	4
1186	7.1	4
1187	9.4	4
1188	11.2	4
1189	12	4.1
1190	12.7	4.2
1191	13	4.3
1192	13.3	4.5
1193	12.9	4.6
1194	12.2	4.7
1195	10.9	4.8
1196	8.4	4.9
1197	6.7	5
1198	5.8	5
1199	5	5
1200	3.8	4.9
1201	4.1	4.9
1202	2.9	4.8
1203	2.5	4.8
1204	2.5	4.7
1205	1.8	4.6
1206	1.4	4.6
1207	0.8	4.5
1208	0.4	4.4
1209	0.8	4.3
1210	4.4	4.3
1211	7.4	4.2
1212	9.8	4.2
